:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
1	:ok	:generate	"168452140568927200022751638383150669758580956438966379896"
1	:invoke	:generate	nil
2	:ok	:generate	"168452140569118000016357029016588581045930694013451151077"
2	:invoke	:generate	nil
1	:ok	:generate	"16845214056943500001418328932166790498542538811026763334"
0	:ok	:generate	"168452140569437500046497236658529247795817908941566221368"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"168452140569658900042067746061325312303190447707068242779"
2	:invoke	:generate	nil
1	:ok	:generate	"168452140569921000020831313548332701088866493975277732381"
0	:ok	:generate	"168452140569935500065392419901887196842282003958249515809"
1	:invoke	:generate	nil
2	:ok	:generate	"168452140570018800046043291383455798926844903254188987209"
2	:invoke	:generate	nil
1	:ok	:generate	"168452140570271800043252723697348496426995371140802847345"
0	:invoke	:generate	nil
2	:ok	:generate	"168452140570452900052560725334708254068846360930622658901"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"16845214057073110008439140366660259102632475256003194594"
0	:invoke	:generate	nil
2	:ok	:generate	"168452140571278300030389259150073056261049817198640284940"
2	:invoke	:generate	nil
0	:ok	:generate	"168452140571910400062182798062006849287082865385184216822"
0	:invoke	:generate	nil
2	:ok	:generate	"16845214057219150002881639710133177145335195838056459651"
2	:invoke	:generate	nil
1	:ok	:generate	"16845214057118150002548981377580094965327398300120508472"
0	:ok	:generate	"168452140572541800011682752083584117176180103515158816500"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"168452140572802800018262509546335537361392387688619157563"
0	:ok	:generate	"168452140573003000082088087678696718647646038646589516254"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"168452140573144000028479961319339949191823409788285192562"
1	:invoke	:generate	nil
0	:ok	:generate	"168452140573377500090524168084817044533070989628800365588"
0	:invoke	:generate	nil
2	:ok	:generate	"16845214057344970007318145138464340915594092174405821100"
2	:invoke	:generate	nil
1	:ok	:generate	"168452140573549300084630440099232341963758649575174731174"
1	:invoke	:generate	nil
2	:ok	:generate	"1684521405737700000658489091521274182325763099030073334"
0	:ok	:generate	"168452140573771800055626219603775823141905145981694303044"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"168452140573939200077641325958105919856172357060263057715"
2	:ok	:generate	"168452140574094400062324433169413714668535669125220514144"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"16845214057436060002728920053554420484973180373724312674"
0	:invoke	:generate	nil
1	:ok	:generate	"168452140574478400024256877980061943932684210994207282999"
1	:invoke	:generate	nil
2	:ok	:generate	"16845214057467100007241905877209580970175462397489338898"
0	:ok	:generate	"168452140574747100012779171249724400366200152531197157386"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"168452140575129800063940748087754665742209439208093974847"
1	:invoke	:generate	nil
0	:ok	:generate	"16845214057523850009321635326113702164664538411034430451"
2	:ok	:generate	"168452140575249600079501697942514946265815275782121923435"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"168452140575546100015902473539987839276479962652174998567"
1	:invoke	:generate	nil
0	:ok	:generate	"168452140575731700063647668606000827091852794958300709297"
0	:invoke	:generate	nil
2	:ok	:generate	"168452140575874300034058378437742384137983472547494112948"
2	:invoke	:generate	nil
1	:ok	:generate	"168452140576357100020729988964529191932663101698451376398"
0	:ok	:generate	"16845214057642380008358631213650136715119755756342226464"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1684521405765962000556332189014070389220607067383679338"
2	:invoke	:generate	nil
0	:ok	:generate	"168452140577074800047203881788596085694683110561405076529"
1	:ok	:generate	"168452140577203600058510177045797889986071741990919236987"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1684521405774252000503171828594953988454796607608187014"
2	:invoke	:generate	nil
0	:ok	:generate	"168452140577664400052681519420499042854240080433048523645"
0	:invoke	:generate	nil
1	:ok	:generate	"168452140577926200014109363604580087794801006067155251780"
2	:ok	:generate	"168452140578133800051072830670150007546799829190545435878"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"168452140578376100076046802555685713298597221921557503646"
1	:ok	:generate	"168452140578511000055139129528658704205653864297902269005"
1	:invoke	:generate	nil
2	:ok	:generate	"168452140578737200018620293381886716691577728083721535723"
2	:invoke	:generate	nil
1	:ok	:generate	"16845214057903970005106521165279801423386737553892984849"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"168452140579375500084716263783512664073368586675409965702"
0	:ok	:generate	"168452140579527900017136213505725000622828723429078882829"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"168452140579725600036610069942309786763215576991457152271"
2	:ok	:generate	"168452140579885400034139517577799254866465702566905654726"
0	:ok	:generate	"168452140579993500056507354957648306979173071862378946738"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"168452140580346400059283216365782048771909519880252971881"
0	:invoke	:generate	nil
1	:ok	:generate	"168452140580415900085047967304708251221259931004184483320"
1	:invoke	:generate	nil
2	:ok	:generate	"168452140580673400037635960324929228054728234434804038943"
2	:invoke	:generate	nil
0	:ok	:generate	"168452140580835800065707593849054949173990626922393689491"
0	:invoke	:generate	nil
1	:ok	:generate	"16845214058116080004770502614136539041815891722886332189"
1	:invoke	:generate	nil
2	:ok	:generate	"16845214058151030006713180953276165659754918083331662398"
2	:invoke	:generate	nil
0	:ok	:generate	"168452140581663500042938833992848402316941116511654525452"
1	:ok	:generate	"16845214058170510004805494951274258881754572440955528406"
0	:invoke	:generate	nil
